,SNAME_lookup,SZIP_lookup,CDSCode
884,charlotte middle,94526,
885,charolette wood,94526,
886,charter,94612,
887,charter of morgan hill,95037,
888,charter of morgan hills,95037,
889,charter of the arts,95404,
890,cheabot community college,94545,
891,cherry chase,94087,
892,chico state,95928,
893,chico state university,95928,
894,chinese medicine,94107,
895,christ the king,94523,
896,christianson middle,94551,
897,christinsen middle,94551,
898,city arts and technology,94112,
899,city arts and technology high,94112,
900,city college,95128,
901,city college of san francisco,94103,
902,city college of san francisco,94108,
903,city college of san francisco,94110,
904,city college of san francisco,94112,
905,city college of san francisco,94132,
906,city college of san francisco downtown,94103,
907,city college of san francisco evans campus,94124,
908,city college of sf nursing program,94112,
909,city college san francisco,94112,
910,city college san jose,95128,
911,city of refuge united church of christ,94103,
912,claire lillien fall,94123,
913,claremont mckenna college,91711,
914,clarendon,94131,
915,clarendon elementary,94131,
916,clayton valley high,94521,
917,clement,94544,
918,clevenger preparatory theatre,94110,
919,clifford elementary,94070,
920,clover stockton university,63435,
921,clyde l  fischer middle,95122,
922,cms,94070,
923,cogswell polytechnical college,94089,
924,cogswell poytechnical college,94089,
925,colcier middle,94514,
926,college,94066,
927,college,94545,
928,college connection,95122,
929,college marin,94904,
930,college market,94109,
931,college of alameda,94501,
932,college of cosmetology,94109,
933,college of marin,94904,
934,college of marin/ srjc,94904,
935,college of san mateo,94061,
936,college of san mateo,94070,
937,college of san mateo,94402,
938,college of san mateo,94404,
939,college park,94523,
940,college preparatory,94116,
941,college preparatory,94618,
942,colonia acre elementary,94541,
943,colorado college,80903,
944,columbia,94085,
945,commodore sloat,94127,
946,common hope st heart,94123,
947,compañeros del barrio,94103,
948,concord high,94519,
949,concord high,99999,
950,coner stone,94134,
951,conola middle,94564,
952,conservatory of music,94102,
953,contra costa christian,94597,
954,contra costa college,94521,
955,contra costa college,94806,
956,contra costa community college,94806,
957,contra costa system,94804,
958,convent,94123,
959,convent of sacred heart,94123,
960,cook middle,95407,
961,corbin university,97317,
962,corner stone,94134,
963,corpus christi,94611,
964,corte madera elementary,94028,
965,cosa grandy high,94954,
966,costasno elementary,94303,
967,crestmont-2,94805,
968,crittendale middle,94043,
969,crittonden middle,94043,
970,croce elementary,94551,
971,crocker highlands,94610,
972,crystal springs high,94010,
973,crystal springs uplands,94010,
974,cs,95035,
975,csm,94402,
976,csu east bay,94607,
977,csu fullerton,92831,
978,csueb,94542,
979,cuhna middle,94019,
980,cumberland,94087,
981,cunha intermediate,94019,
982,cunha ms,94019,
983,cupertino high: attendance office,95014,
984,cupertino junior high,94087,
985,cuppitino high,95014,
986,d,94558,
987,daniel lairon elementary,95111,
988,daniel webster elementary,94107,
989,danza,95014,
990,darmouth elementary,95118,
991,dartmouth ms,95118,
992,daves avenue public,95030,
993,david a weir,94533,
994,david star jordan middle,94303,
995,david wier elementary,94533,
996,davidson middle,94901,
997,davis,95111,
998,daylar middle,94030,
999,dcp middle,95122,
1000,de anza college,94559,
1001,de anza college,95014,
1002,de anza community college,95014,
1003,de la salle,94518,
1004,de la salle high,94518,
1005,de la salle high of concord,94518,
1006,de la vista,91754,
1007,deablo valley college,94523,
1008,deana,95014,
1009,deanza,95008,
1010,deanza college,95014,
1011,deanza community college,95014,
1012,deer valley,94531,
1013,dejean middle,94805,
1014,del harrison middle,95476,
1015,del mar,92014,
1016,del mar high,95110,
1017,del phi academy,95008,
1018,del ray elementary,94563,
1019,del ray elementary,94580,
1020,derr valley high,94531,
1021,diablo  valley college,94523,
1022,diablo community college,94582,
1023,diablo valle montessori,94549,
1024,diablo valley & los pacitas college,94582,
1025,diablo valley city college,94523,
1026,diablo valley college,94521,
1027,diablo valley college,94523,
1028,diablo valley college,94582,
1029,diablo valley community college,94523,
1030,diablo valley jc,94523,
1031,diablo valley junior college,94523,
1032,diablo valley montessori,94549,
1033,diabo,94523,
1034,dialbo college,94523,
1035,dianza community college,95014,
1036,dilworth elementary,95129,
1037,discovery academy,94603,
1038,discovery bay,94505,
1039,domincan university,94901,
1040,dominican,94708,
1041,dominican university,94901,
1042,dominican university of california,94901,
1043,don callegon,95054,
1044,don callejon middle,95054,
1045,dorsa elementary,95122,
1046,dougherty elementary,94566,
1047,dougherty elementary,94568,
1048,douglas l whited elementary,95409,
1049,dowdidch,94404,
1050,downer elementary,94804,
1051,downtown college prep,95126,
1052,dozzer libby medical high,94531,
1053,dr charles drew elementary,94124,
1054,drake high,94960,
1055,drake hs,94960,
1056,drew high,94115,
1057,drownell middle,95020,
1058,dublo valley college,94523,
1059,dunbar  elementary,95442,
1060,dunham academy,94903,
1061,dv,94561,
1062,dvc,94523,
1063,e.r. taylor elementary,R3G 1,
1064,eagle peak montessori charter,94598,
1065,east bay college,94542,
1066,east bay university,94542,
1067,east oakland pride,94621,
1068,east valley christian,95148,
1069,eastbay california campus,94551,
1070,easter brook discovery middle,95129,
1071,easterbrooke discovery,95129,
1072,eastin elementary,94587,
1073,eastside college preparatory,94303,
1074,ecole bilingue de berkeley middle,94710,
1075,eddison charter academy,94114,
1076,eden vale community,95111,
1077,edison,94501,
1078,eds,95129,
1079,egan junior high,94022,
1080,el canada,94061,
1081,el centro elementary,94558,
1082,el hombre high,94553,
1083,el molino,95436,
1084,el seritto high,94530,
1085,el sobrante christian,94803,
1086,eldgride elementary,94544,
1087,elementary,94019,
1088,elementary,94080,
1089,elementary,94306,
1090,elementary,94510,
1091,elementary,94534,
1092,elementary,94551,
1093,elementary,94563,
1094,elementary,94611,
1095,elementary,94706,
1096,elementary,94708,
1097,elementary,95020,
1098,elementary,95118,
1099,elementary,95124,
1100,elementary,95131,
1101,elementary,95132,
1102,elementary,95448,
1103,elementary,95688,
1104,ellis academy,94601,
1105,elmhurst middle,94603,
1106,elmolino high,95436,
1107,elmore elementary,94603,
1108,elverado middle,94114,
1109,emanuel elementary,94587,
1110,embry riddle aeronautical university,86301,
1111,embry riddle aeronautical university,94533,
1112,emma smith,94550,
1113,empire,95403,
1114,empire college,95403,
1115,en ballake elementary,94558,
1116,encinal,94027,
1117,encinal,94501,
1118,encinal high,94501,
1119,enson l,94501,
1120,enson l,94541,
1121,envision academy of arts and technology,94612,
1122,epithany elementary,94112,
1123,eps richmond high,94804,
1124,er taylor elementary,94134,
1125,erey elementary,94513,
1126,erickson high,95112,
1127,escandedo,94305,
1128,escondido,94305,
1129,esquela apopula,95127,
1130,ev cain charter middle,95603,
1131,evcp high,94551,
1132,everest college,95035,
1133,everest middle,66424,
1134,everett middle,94109,
1135,everett middle,94110,
1136,evergreen college,95135,
1137,evergreen community college,95135,
1138,evergreen high,95148,
1139,evergreen valley college,95135,
1140,everington high,94538,
1141,fairfield adult,94533,
1142,fairfield middle,94533,
1143,fairfield sosoon unified high,94533,
1144,fairland,94588,
1145,faith christian learning center,94561,
1146,faith ringgold of arts & sciences,94541,
1147,fallon middle,94568,
1148,falono college,94534,
1149,far west,94607,
1150,farallon view elementary,94019,
1151,faria elementary,95014,
1152,farralone elementary,94019,
1153,fernando rivera middle,94015,
1154,ferros elementary,94520,
1155,filcion flex academy,95037,
1156,fisher middle,95032,
1157,foot hill college,94022,
1158,foot hill elementary,94565,
1159,foot hill elementary,95070,
1160,foot hill high,94588,
1161,foot hill middle,94598,
1162,foot hills college,94022,
1163,foothill,94588,
1164,foothill college,94022,
1165,foothill college,94306,
1166,foothill college: disability resource center,94022,
1167,foothill community college,94022,
1168,foothill community college,94303,
1169,foothills college,94022,
1170,foothills community college,94022,
1171,foresthill  elementary,95130,
1172,forster city elem,94404,
1173,fort hills college,94022,
1174,francis scott key elementary,94122,
1175,frank l huff elementary,94040,
1176,frank mccoppin elementary,94118,
1177,franklin,94609,
1178,franklin d roosevelt,94015,
1179,franklin elem,94010,
1180,fransico middle,94133,
1181,freemont district,94536,
1182,freemont high,94087,
1183,freemont high,95070,
1184,french,94122,
1185,french american intl,94102,
1186,friend's house,94705,
1187,frost elementary,95123,
1188,fusion academy,94133,
1189,fusion academy,94403,
1190,galarza elementary,95125,
1191,galileo,94122,
1192,galileo academy of science & technology,94109,
1193,galilio hs,94109,
1194,galivan,95020,
1195,garden gate,95014,
1196,gardfield elementary,94577,
1197,gardner academy,95125,
1198,garenger elementary,94561,
1199,garfield middle,94025,
1200,gateway cluster elementary,95020,
1201,gaverlan community college,95020,
1202,gavilan college,95020,
1203,gavilan college,95037,
1204,gavilan community college,95020,
1205,gavlin community college,95020,
1206,george main elementary,95134,
1207,george mayne elementary,95134,
1208,george miller,94518,
1209,george payne,95130,
1210,george peabody elementary,94118,
1211,georgia tech,30313,
1212,georgina p blach intermediate,94024,
1213,gideon hausner,94306,
1214,gilroy comm college,95020,
1215,gilroy preschool,95020,
1216,girls middle,94303,
1217,glarza elementary,95125,
1218,gleenview elementary,94602,
1219,glider elementary,95123,
1220,glorietta,94563,
1221,golden gate theological baptist seminary,94941,
1222,golden gate university,94105,
1223,"golmand of public policy, uc berkeley",94720,
1224,gomes elementary,94539,
1225,good side high,94025,
1226,gordon j. lau elementary,94108,
1227,grace lutheran church & church,94403,
1228,grace patterson,94590,
1229,graduate theological union,94709,
1230,graham middle,94040,
1231,granada,94550,
1232,grand elementary,94804,
1233,grand elementary,95112,
1234,grant,94952,
1235,grattan nursery and age,94117,
1236,gratten elementary,94117,
1237,gravenstein,95472,
1238,gray elementary,94513,
1239,graystone,95120,
1240,green elementary,94568,
1241,green leaf middle,94621,
1242,gregory gardens,94523,
1243,gremmer elementary,94538,
1244,grenada,94550,
1245,grenada high,38901,
1246,grenada high,94550,
1247,gretchen higgins,95620,
1248,gretchen higgins elementary-2,95620,
1249,gunn high,94304,
1250,gunn high,94306,
1251,hacienda,94588,
1252,hacienda,95118,
1253,hacienda elementary,94588,
1254,hacienda elementary,95118,
1255,hacienda environmental science magnet,95118,
1256,hahn,94928,
1257,half moon bay high scholl,94019,
1258,half moon bay hs,94019,
1259,hamilton elementary,94949,
1260,hamlin for girls,94123,
1261,hammer montessori,95125,
1262,hang out,95050,
1263,harkar high,95117,
1264,harker,95117,
1265,harker high,95117,
1266,harker high,95129,
1267,harper middle,95618,
1268,hart middle,94588,
1269,harvey milk civil rights academy,94114,
1270,hatch elementary,94019,
1271,hatch middle,94019,
1272,hawker high,95117,
1273,hayward,94541,
1274,hayward college,94542,
1275,head waters academy,94952,
1276,heald college,94103,
1277,heald college,94520,
1278,hearst elementary,94566,
1279,heff elementary,94040,
1280,henry gunn high,94304,
1281,henry m  gunn high,94304,
1282,henry m  gunn high,94306,
1283,henry m gunn high,94306,
1284,henry m. gunn high,94304,
1285,herbert hoover,95125,
1286,herbert hoover middle,94116,
1287,herbert slater middle,95401,
1288,hercules middle high,94547,
1289,heritage baptist academy,94531,
1290,heritage high,80120,
1291,heritage peak,95687,
1292,herman intermediate,95123,
1293,herman middle,95123,
1294,herst elementary,94566,
1295,high,94063,
1296,high,94132,
1297,high,94501,
1298,high,94526,
1299,high,94530,
1300,high,94533,
1301,high,94553,
1302,high,94563,
1303,high,94610,
1304,high,94611,
1305,high,94704,
1306,high,95014,
1307,high,95122,
1308,high,95407,
1309,highland elementary,94521,
1310,highlands,94565,
1311,hill college,95035,
1312,hill top high,94110,
1313,hillcrest,95472,
1314,hillsborough elementary,94010,
1315,hillsborrow,94010,
1316,hillview,94025,
1317,hogan high,94591,
1318,holy angels,94014,
1319,holy family elementary,95136,
1320,holy high,94618,
1321,holy name,94122,
1322,holy name university,94619,
1323,holy names high,94618,
1324,holy names university,94619,
1325,home,94063,
1326,home,94087,
1327,home,94402,
1328,home,94523,
1329,home,94710,
1330,home,95120,
1331,home,95401,
1332,homestead,95014,
1333,hong kong,99999,
1334,hoober middle,95191,
1335,hoover,94063,
1336,hoover middle,94116,
1337,hoover middle,95191,
1338,hopkins junior high,94539,
1339,horizons,94523,
1340,humboldt state university,95521,
1341,hyde middle,95014,
1342,ida jew academies,95127,
1343,ida jew academy,95148,
1344,ida price,95124,
1345,ida price elementary,95124,
1346,ida price middle,95124,
1347,ihm,94002,
1348,ihs,94102,
1349,impact academy of arts and tech,94545,
1350,independence,95133,
1351,indian valley college,94947,
1352,indigo elementary,95123,
1353,ingrid b lacey middle,94044,
1354,intermediate scholl,95119,
1355,international high,94102,
1356,international of the peninsula,94303,
1357,invision academy,94612,
1358,iron horse middle,94582,
1359,island high,94501,
1360,j x wilson elementary,95401,
1361,j. l standford middle,94306,
1362,j. o. ford elementary,94806,
1363,jackson elementary,95037,
1364,jackson middle,95687,
1365,james bunker elementary,94560,
1366,james lick middle,94114,
1367,james mcentee elementary,95127,
1368,james monroe elementary,94578,
1369,jchs,94115,
1370,jean callison,95687,
1371,jefferson,94702,
1372,jefferson elementary,94115,
1373,jennsen ranch,94552,
1374,jeorje-atrewth-oberschule,13467,
1375,jepson,95688,
1376,jepson middle,95688,
1377,jffm,95131,
1378,jfk university,94523,
1379,jfk university,97707,
1380,jim croce,94551,
1381,jls middle,94306,
1382,joaquin miller,94611,
1383,john elementary,94568,
1384,john freeman elementary,94509,
1385,john green,94568,
1386,john marsh elementary,94509,
1387,john meyer middle,95118,
1388,john mill middle,94577,
1389,john muir junior high,94577,
1390,john swet high,94525,
1391,johnson,94551,
1392,johnson & wales university,80207,
1393,jordan,94303,
1394,jordan middle,94303,
1395,jorge main elementary,95134,
1396,jr,95132,
1397,jr high,94536,
1398,jr high,95448,
1399,juana briones elementary,94304,
1400,julia baldwin elementary,95119,
1401,junction ave,94551,
1402,junction avenue k-8,94551,
1403,junior high,94587,
1404,junior high,94605,
1405,junipero serra elementary,94110,
1406,junipero serra high,94403,
1407,justin siena high,94558,
1408,justin sienna high,94558,
1409,k i jones elementary,94534,
1410,k.i. jones,94534,
1411,k.i. jones elementary,94534,
1412,k5 - elementary,95130,
1413,katherine delmar burke,94121,
1414,kawana elementary,95404,
1415,kehillah jewish high,94303,
1416,kenielworth middle,94954,
1417,kennedy high,94804,
1418,kennedy middle,94061,
1419,kennedy middle,95014,
1420,kent middle,94904,
1421,kenwood,95452,
1422,keys junior high,94306,
1423,kimble elementary,94509,
1424,kindergarten,94561,
1425,king middle,93662,
1426,kings middle,94703,
1427,kip,94607,
1428,kipp,94580,
1429,kipp harwood academy,95122,
1430,kipp san jose colleges,95133,
1431,kipp sf bay academy,94115,
1432,kolb elementary,94568,
1433,kolob canyon residential treatment center,84757,
1434,krey elementary,94513,
1435,la entrada,94025,
1436,la sierra university,92505,
1437,lafayette elementary,94607,
1438,lafeyette middle,94549,
1439,laganitas,94963,
1440,lake shore elementary,94132,
1441,lakewood elementary,94041,
1442,landmark education,95113,
1443,laney,94606,
1444,laney,94607,
1445,laney college,94606,
1446,laney college,94607,
1447,"laney college, oakland, ca",94607,
1448,laney community college,94606,
1449,laney community college,94607,
1450,las alamitos elementary,95120,
1451,las lomitas,94027,
1452,las modanes,94565,
1453,las positas college,94551,
1454,las positas community college,94551,
1455,las positas jr college,94551,
1456,las positias college,94551,
1457,laurel elementary,94002,
1458,lawrence e jones middle,94928,
1459,lawrence jones middle,94928,
1460,lawson middle,95014,
1461,le lycee la perouse,94116,
1462,leadership high,94544,
1463,leadership public high,94804,
1464,leadership publics hayward,94545,
1465,lecom,34211,
1466,legacy high,94132,
1467,leo r croce elementary,94551,
1468,leonard herman intermediate,95123,
1469,leonard herman intermediate,95136,
1470,leonard r flynn elementary,94110,
1471,lg high,95030,
1472,liberty high,95123,
1473,liberty hs,94513,
1474,liberty union high,94513,
1475,lick wilmerding high,94112,
1476,lick-wilmerding high,94112,
1477,lighthouse elementary,33458,
1478,lincoln,94501,
1479,lincoln elementary,95014,
1480,lincoln elementary,95401,
1481,lincoln high,94116,
1482,lincoln high,95126,
1483,lindford l anderson elementary,95620,
1484,lindon hall middle,94550,
1485,livermore valley charter,94550,
1486,local,94404,
1487,local 38 plumbers apprenticeship,94103,
1488,local high,95472,
1489,logan high,94587,
1490,loma vista,94518,
1491,lomita paz,94066,
1492,long island university,11545,
1493,longfellow elementary,94608,
1494,longfellow magnet middle,99999,
1495,longfellow middle,94703,
1496,loral elementary,94403,
1497,los altos mountain view adult education program,94043,
1498,los cerros middle,99999,
1499,los medan's college,94565,
1500,los medanos,94565,
1501,los medanos college,94513,
1502,los medanos college,94565,
1503,los medanos community college,94565,
1504,los medanos junior college,94513,
1505,los medenos,94565,
1506,los medonas college,94565,
1507,los medonos,94565,
1508,los paseos,95139,
1509,los poseos elementary,95139,
1510,los positas,94551,
1511,los positas community college,94551,
1512,los rios community college,95818,
1513,losmodos college,94565,
1514,lowell high,01852,
1515,lps college park,94605,
1516,lucha elementary,95116,
1517,lum,94501,
1518,luther burbon,95128,
1519,lycee francais la perouse,94116,
1520,lycee francais la perouse french,94117,
1521,lydiksen,94588,
1522,lynbrook elementary,95129,
1523,lynerbrook high,95129,
1524,lynn brook,95129,
1525,lynnbrook,95129,
1526,lynnbrook high,95129,
1527,m elementary,63361,
1528,mare island technology academy,94591,
1529,maria cariello  high,95409,
1530,maria cariello high,95409,
1531,maria carillo hs,95409,
1532,maria carrillo,95409,
1533,maria's home for the aged,94403,
1534,marin catholic high,94904,
1535,marin college,94904,
1536,marin community college,94904,
1537,marin montessori,94925,
1538,marin primary,94925,
1539,marjorie h tobias,94015,
1540,mark west,95403,
1541,markham elementary,95688,
1542,marsch creek,94513,
1543,martin luther king junior high,94703,
1544,martin luther king middle,94134,
1545,martinez jr high,94553,
1546,martinez jr. high,94553,
1547,mary college,94609,
1548,mary collins at cherry valley,94952,
1549,mary e silveira elementary,94903,
1550,mary farmer,94510,
1551,mary silveira elementary,94903,
1552,mary silveria grammer,94903,
1553,marys college,94601,
1554,marysville high,95901,
1555,matos elementary,94536,
1556,matt garcia,94533,
1557,matt garcia center,94533,
1558,mattie washburn elementary,95492,
1559,mattos elementary,94536,
1560,mayalin elementary,94501,
1561,mc collam elementary,95127,
1562,mchs,94544,
1563,mckinley,94010,
1564,mckinley middle,94062,
1565,mckinnley elementary,94114,
1566,mcnair elementary,94952,
1567,meadow,94954,
1568,meadow elementary,94403,
1569,meadowview elementary,95407,
1570,meher,94549,
1571,mell west high,94606,
1572,memorial high,94560,
1573,mendenhall middle,94550,
1574,mendocino jr. college,95482,
1575,menlo atherton high,94025,
1576,menlo atherton high,94027,
1577,menlo-atherton high,94027,
1578,mercy high,94132,
1579,merritt college,94619,
1580,merritt university,94501,
1581,merryhill,95035,
1582,merryhill,95133,
1583,metro arts and tech,94124,
1584,metropolitan arts and technology high,94124,
1585,meyer elementary,95122,
1586,meyerholz elementary,95129,
1587,mhs,95035,
1588,mi rancho elementary,95035,
1589,miami,33146,
1590,middle,94117,
1591,middle,94303,
1592,middle,94306,
1593,middle,94515,
1594,middle,94551,
1595,middle,94583,
1596,middle,94602,
1597,middle,95118,
1598,middle,95126,
1599,milimi middle,94560,
1600,milk high,94030,
1601,miller creek,94903,
1602,miller middle,95129,
1603,mills college,94613,
1604,milpedas christian,95132,
1605,milpitas christian,95132,
1606,mira loma elementary,94127,
1607,mission,94509,
1608,mission college,95014,
1609,mission college,95054,
1610,mission dolors,94114,
1611,mission hills middle,94587,
1612,mission middle college,95054,
1613,miwok,94954,
1614,miwok valley electuary,94954,
1615,miwok valley elementary,94954,
1616,mlk middle in berkeley,94703,
1617,monarch academy,94603,
1618,monavista high,94526,
1619,monta vista,94526,
1620,monte gardens,94519,
1621,monte verde,94080,
1622,monte video,94583,
1623,monte vista,94526,
1624,monte vista,94596,
1625,monte vista,95014,
1626,monte vista high,95014,
1627,montessori de terra linda,94903,
1628,montessori family,94530,
1629,montessori of fremont,94539,
1630,monteverde,94080,
1631,monteverde elementary,94080,
1632,montey garden ,94519,
1633,montgomery,94952,
1634,montgomery elementary,95121,
1635,monticello academy,95051,
1636,montyvideo elementary,94583,
1637,moreau catholic high,94544,
1638,morehouse college,30314,
1639,morello park elementary-2,94553,
1640,morland middle,95130,
1641,morow catholic,94544,
1642,morrell,95132,
1643,mount carmel church,94062,
1644,mount clare elementary,94024,
1645,mount diablo elementary,94517,
1646,mount diablo high,94520,
1647,"mount eden high, chibot college",94545,
1648,mount madonna,95076,
1649,mount placid elementary,95148,
1650,mountain view,94022,
1651,mountainview high,94040,
1652,mp brown elementary,94015,
1653,mt diablo elementary,94517,
1654,mt pleasant high,95127,
1655,musick elementary,94560,
1656,myra vista,94805,
1657,napa christian,94559,
1658,napa city college,94558,
1659,napa college,94558,
1660,napa valley,94558,
1661,napa valley adult ed,94559,
1662,napa valley college,94557,
1663,napa valley college,94558,
1664,napa valley college,94574,
1665,napa valley jc,94558,
1666,national hispanic university,95127,
1667,navato high,94947,
1668,nbla elementary,94558,
1669,ndnu,94002,
1670,nea,94501,
1671,nea community center,94501,
1672,nearby,95129,
1673,neighborhood christian,95620,
1674,neighborhood kids corner,94061,
1675,neil armstrong elementary,94583,
1676,nevada,94947,
1677,new horizon,94536,
1678,new horizons elementary,94586,
1679,new tech high,94559,
1680,new traditions,94117,
1681,new york university,10011,
1682,newark high,94560,
1683,newark memorial,94560,
1684,newl petus christian,95132,
1685,nimitz elementary,94087,
1686,nistrom elementary,94804,
1687,nixon elementary,94305,
1688,nortgate high,94598,
1689,north bay training center,94952,
1690,north creek christian,94598,
1691,north high,94598,
1692,north hills christian church,94591,
1693,north star,94062,
1694,north west pret,95401,
1695,northeastern,02115,
1696,northeastern university,02215,
1697,northeastern university,2115.,
1698,northgate,94598,
1699,northstar academy,94062,
1700,northwest prep middle,95401,
1701,northwestern university,60201,
1702,northwood,95132,
1703,notor dame,95687,
1704,notre  dame denamur,94002,
1705,notre dame,94002,
1706,notre dame catholic,94002,
1707,notre dame de namur university,94002,
1708,notre dame de namur university,94080,
1709,notre dame des victoires,94108,
1710,notre dame des victories,94108,
1711,notre dame high,91423,
1712,notre dame high,95112,
1713,notre dame high of san jose,95112,
1714,novato hs,94947,
1715,nvla elementary,94558,
1716,o n hirsch elementary,94538,
1717,oak elementary,94024,
1718,oak grove,94518,
1719,oakgrove high,95123,
1720,oakland for the arts,94612,
1721,oakland high,94607,
1722,oakland military institute,94608,
1723,oakland technical,94609,
1724,oakland technical high,94609,
1725,oaxgrove middle,94518,
1726,oberlin,44074,
1727,occidental,90041,
1728,ocean shore,94044,
1729,ochoa middle,94545,
1730,ohara park middle,94561,
1731,ohlnoe,94539,
1732,ohlome college,94539,
1733,ohlome elementary,94303,
1734,ohlone,94303,
1735,ohlone,94539,
1736,ohlone college,94539,
1737,old mill,94941,
1738,old orchard,95008,
1739,old venetia valley elementary,94903,
1740,olive,94945,
1741,olivera elementary,94536,
1742,olivet elementary,95401,
1743,olli osher lifelong learning institute,94720,
1744,olympic high,94519,
1745,omy,94603,
1746,oranda middle,94563,
1747,orchard,95131,
1748,orchard,95688,
1749,orinda,94563,
1750,ortega,94044,
1751,otis college of art and design,90045,
1752,otis elementary,94501,
1753,our lady of mount carmel,94062,
1754,our savior lutheran,94550,
1755,p.a. walsh elementary,95037,
1756,pacific of religion,94709,
1757,pacific west christian academy,95020,
1758,padan elementary,95687,
1759,paden,95687,
1760,painter elementary,95127,
1761,pala alto high,94303,
1762,palmaciea,94545,
1763,palmaicea elementary,94545,
1764,palmer,94597,
1765,palo alto hgh,94306,
1766,palo alto high,94306,
1767,palo alto hs,94306,
1768,palo alto prep,94043,
1769,palo alto preparatory,94043,
1770,palo alto unified district: counseling-guidance,94304,
1771,palo alto university,94304,
1772,paly high,94301,
1773,panarma elementary,94014,
1774,paradise valley,95037,
1775,paradise valley elementary,95037,
1776,park,94509,
1777,park elementary,94402,
1778,park hotel tokyo,99999,
1779,park meade,94509,
1780,park meade,94595,
1781,park meade,94598,
1782,parkside elementary,94403,
1783,parolta community college\,94501,
1784,payden,94501,
1785,payton,95687,
1786,pearl ankaz,95035,
1787,pearl zanker,95035,
1788,peidmount middle,94611,
1789,peninsula,94025,
1790,penny cook elementary,94591,
1791,peralta,94609,
1792,perolta,94609,
1793,persidiom,94116,
1794,peta loma high,94952,
1795,peteluma high,94952,
1796,peteluma junior high,94952,
1797,peterson,94087,
1798,peterson middle,94087,
1799,phillip burton,94112,
1800,phillip burton academic,94134,
1801,phillips brooks,94025,
1802,phoenix academy,94303,
1803,piedmont adult education,94609,
1804,pinata college,94061,
1805,pine hollow,94521,
1806,piner olivet charter,95403,
1807,pinewood high,94024,
1808,pinole,94564,
1809,pittsburg high,94565,
1810,pittsburgh high,94565,
1811,pleasant hill middle,94523,
1812,pleasant valley,94947,
1813,polao alto adult education,94306,
1814,policida middle,94014,
1815,pomeroy,95035,
1816,pomery,95051,
1817,ponderosa,94086,
1818,portland state university,97201,
1819,portola middle,94530,
1820,poway high,92064,
1821,pratt institute,94534,
1822,prefer not to answer.,95118,
1823,prefer to not answer,94928,
1824,presentation high,95125,
1825,presentation high: catholic college prep for young women,95125,
1826,presidio,94129,
1827,presidio graduate,94129,
1828,presidio hill,94118,
1829,presidio jr high,94121,
1830,price,95124,
1831,pride elementary,94621,
1832,primary plus - amber drive elementary,95117,
1833,prince of peace,94536,
1834,prints,94010,
1835,priory high,94028,
1836,private residence,95409,
1837,proctor terrace,95404,
1838,psa,94533,
1839,public,94552,
1840,public,94577,
1841,public elementary,95405,
1842,public high,94928,
1843,queen of apostles,95129,
1844,r f kennedy elementary,95122,
1845,ralfton middle,94002,
1846,ralston,94002,
1847,ralston middle,94002,
1848,ramwood elementary,95121,
1849,rancho cotatie high,94928,
1850,rancho las positas,94551,
1851,rancho medanos middle,94565,
1852,randall elementary,95035,
1853,raymond j fisher middle,95032,
1854,red cross nursing program,95403,
1855,redeemer,94062,
1856,redeemer lutheran,94062,
1857,redwood christian,94546,
1858,redwood christian,94580,
1859,redwood christian high,94580,
1860,redwood day,94601,
1861,redwood day,94602,
1862,refused,94538,
1863,refused,95492,
1864,regis university,80221,
1865,regnart,95014,
1866,regnart elementary,95014,
1867,rendall,95035,
1868,renkin valley charter,95409,
1869,rheem elementary,94556,
1870,riebli,95403,
1871,rigdway high,95401,
1872,rio vista high,94571,
1873,river,94558,
1874,river middle,94558,
1875,river montessori,94954,
1876,riverside community college,92506,
1877,riverside high,94565,
1878,riverview,94565,
1879,riverview elementary,94571,
1880,riverview middle,94571,
1881,rj fischer middle,95032,
1882,rj fisher,95032,
1883,robert louis stevenson middle,94574,
1884,robert stevens elementary,95407,
1885,rocketship elementary,95116,
1886,roderiquez high,94533,
1887,rodriguez high,94534,
1888,rodriquez high,94534,
1889,rohnart park,94928,
1890,rolling hills,94534,
1891,rolling hills,95032,
1892,rolling hills middle,95032,
1893,ron nunm elementary,94513,
1894,rooftop alternative,94114,
1895,rooftop elementary,94114,
1896,rooftop k-8,94114,
1897,rosa park elementary,94710,
1898,rosa parks,94710,
1899,rosa parks elementary,94710,
1900,royal academic,94601,
1901,ruth sheldon elementary,94533,
1902,ruth top alternative,94131,
1903,ryan elementary,94063,
1904,s,95131,
1905,s. v. e. s.,94952,
1906,sabboto high,93901,
1907,sacramento city college,95818,
1908,sacramento city college davis extension,95616,
1909,sacramento state university,95819,
1910,sacred heart,94123,
1911,sacred heart,95070,
1912,sacred heart high,94109,
1913,sacred heart prep,94027,
1914,sacred heart preparatory,94027,
1915,sacred hearts,94123,
1916,saint a's,94558,
1917,saint apollanaras,94558,
1918,saint basil's,94590,
1919,saint brendan catholic,94127,
1920,saint charles,94070,
1921,saint christopher,95125,
1922,saint christopher's,95125,
1923,saint clements middle,94544,
1924,saint eugenes elementary,95405,
1925,saint finnbarr,94112,
1926,saint frances cabrinini,95124,
1927,saint frances high,94040,
1928,saint francis high,94040,
1929,saint ignatius,94116,
1930,saint joseph,94040,
1931,saint joseph's,94501,
1932,saint lawrence,95051,
1933,saint lawrence elementary,95051,
1934,saint mathews,94401,
1935,saint patrick,95112,
