SAMPN,PERNO,Unnamed: 0,index,RELAT,GEND,AGE,AGEB,HISP,RACE1,RACE2,RACE3,RACE4,O_RACE,NTVTY,CNTRY,LIC,USER,TRANS,TPTYP1,TPTYP2,TPTYP3,TPTYP4,TPTYP5,TPTYP6,TPTYP7,O_TPTYP,CLIP1,CLIP2,CLIP3,COMP,MET,PASSTL,FLEX,EMPLY,WKSTAT,O_WKSTAT,JOBS,WLOC,WNAME_persons,WCITY_persons,WSTAT,WZIP_persons,WXST1_persons,WXST2_persons,WXCORD_persons,WYCORD_persons,WDAYS,WDAY1,WDAY2,WDAY3,WDAY4,WDAY5,WDAY6,WDAY7,HOURS,WSCHED,COMPR,WMODE,INDUS,O_INDUS,OCCUP,O_OCCUP,WLOC2,WNAME2_persons,WCITY2_persons,WSTAT2,WZIP2_persons,WXST2_1_persons,WXST2_2_persons,WDAYS2,DISAB,DTYPE1,DTYPE2,DTYPE3,DTYPE4,DTYPE5,DTYPE6,DTYPE7,O_DTYPE,DSLIC,EDIS,TTRIP,TRNSUB,SUBAMT,SUBUNT,O_SUBUNT,WTRIP,BTRIP,STUDE,SCHOL,O_SCHOL,SLOC,SONLN,PRESCH,O_PRESCH,SNAME_persons,SCITY_persons,SSTAT,SZIP_persons,SXST1_persons,SXST2_persons,SXCORD_persons,SYCORD_persons,SMODE,EDUCA,O_EDUCA,INTRV,PROXY,CMPLG,HVLOG,PTRIPS,TOLLF,TOLLR1,TOLLR2,TOLLR3,TOLLR4,TOLLR5,TOLLR6,TOLLR7,TOLLR8,TOLLR9,TOLLR10,TOLLB1,TOLLB2,TOLLB3,TOLLB4,TOLLB5,TOLLB6,TOLLB7,TOLLB8,TOLLB9,TOLLB10,HOVL,NOGOWHY,NOGOWHY_O,InComplete,Moto_trip,WCTFIP_persons,WTRACT_persons,SCTFIP_persons,STRACT_persons,WPrimaryCity_persons,WSTFIP_persons,W2PrimaryCity_persons,W2STFIP_persons,SPrimaryCity_persons,SSTFIP_persons,PERWGT,EXPPERWGT,WNAME_lookup,WCITY_lookup,WZIP_lookup,WXST1_lookup,WXST2_lookup,WXCORD_lookup,WYCORD_lookup,WNAME2_lookup,WCITY2_lookup,WZIP2_lookup,WXST2_1_lookup,WXST2_2_lookup,SNAME_lookup,SCITY_lookup,SZIP_lookup,SXST1_lookup,SXST2_lookup,SXCORD_lookup,SYCORD_lookup,WCTFIP_lookup,WTRACT_lookup,WBLOCK,WPrimaryCity_lookup,WSTFIP_lookup,W2PrimaryCity_lookup,W2STFIP_lookup,SCTFIP_lookup,STRACT_lookup,SBLOCK,SPrimaryCity_lookup,SSTFIP_lookup,HCITY,HZIP,HXCORD,HYCORD,HBLOCK,HTRACT,HCTFIP,HPrimaryCity,parcel_id_home,parcel_id_work,zone_id_home,zone_id_work,SNAME_SZIP_loopup
1970926,3,11995,52290,3,2,9,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,12,2.0,,,,4,5.0,1,3.0,,2.0,,,,HIDDEN,BURLINGAME,CA,94010,,,HIDDEN,HIDDEN,1.0,1,,2.0,2.0,1,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,605300.0,,,,,BURLINGAME,6.0,0.50088177,169.7066205,,,,,,,,,,,,,mckinley elementary,BURLINGAME,94010,,,-122.35638840000001,37.5795636,,,,,,,,81.0,605300.0,60816053002012.0,BURLINGAME,6.0,BURLINGAME,94010,-122.350816,37.575734000000004,60816055002012,605500,81,BURLINGAME,1111562,,251,,mckinley elementary 94010
1970926,4,11996,52291,3,1,7,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,12,2.0,,,,8,4.0,1,3.0,,2.0,,,,HIDDEN,BURLINGAME,CA,94010,,,HIDDEN,HIDDEN,1.0,1,,2.0,2.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,605300.0,,,,,BURLINGAME,6.0,0.50088177,169.7066205,,,,,,,,,,,,,mckinley elementary,BURLINGAME,94010,,,-122.35638840000001,37.5795636,,,,,,,,81.0,605300.0,60816053002012.0,BURLINGAME,6.0,BURLINGAME,94010,-122.350816,37.575734000000004,60816055002012,605500,81,BURLINGAME,1111562,,251,,mckinley elementary 94010
1971106,3,12005,52310,3,1,12,,1,97.0,1.0,,,HISPANIC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,2.0,,,,5,0.0,1,3.0,,2.0,,,,HIDDEN,ST HELENA,CA,94574,,,HIDDEN,HIDDEN,6.0,1,,2.0,2.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,55.0,201601.0,,,,,SAINT HELENA,6.0,0.46661763,158.09739013,,,,,,,,,,,,,st helena montessori,ST HELENA,94574,,,-122.468942,38.502196000000005,,,,,,,,55.0,201601.0,60552016011004.0,SAINT HELENA,6.0,NAPA,94558,-122.314191,38.340897,60552006022004,200602,55,NAPA,865906,,1306,,st helena montessori 94574
1971236,4,12014,52338,3,1,16,,2,1.0,5.0,,,,1,,2.0,,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,HIDDEN,SAUSALITO,CA,94965,,,HIDDEN,HIDDEN,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,25.0,2.0,8.0,2.0,92.0,,37.0,,,,,,,,,,2,,,,,,,,,,,0,,,,,3,5.0,1,4.0,,2.0,,,,HIDDEN,MILL VALLEY,CA,94941,,,HIDDEN,HIDDEN,1.0,1,,,,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,41.0,130202.0,41.0,126200.0,SAUSALITO,6.0,,,MILL VALLEY,6.0,0.49113078,166.40283352,CITY OF SAUSALITO,SAUSALITO,94965,,,-122.486704,37.860431,,,,,,tam high,MILL VALLEY,94941,,,-122.530202,37.892483,41.0,130202.0,60411302021035.0,SAUSALITO,6.0,,,41.0,126200.0,60411262002008.0,MILL VALLEY,6.0,MILL VALLEY,94941,-122.53335700000001,37.90079,60411261002006,126100,41,MILL VALLEY,771375,786767.0,1442,1448.0,tam high 94941
1971236,5,12015,52339,3,2,12,,2,1.0,5.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,5,0.0,1,3.0,,2.0,,,,HIDDEN,CORTE MADERA,CA,94925,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,41.0,121100.0,,,,,CORTE MADERA,6.0,0.48848971,165.50799586,,,,,,,,,,,,,marin primary,CORTE MADERA,94925,,,-122.53199040000001,37.9275818,,,,,,,,41.0,121100.0,60411211002000.0,CORTE MADERA,6.0,MILL VALLEY,94941,-122.53335700000001,37.90079,60411261002006,126100,41,MILL VALLEY,771375,,1442,,marin primary 94925
1971814,2,12018,52374,3,2,10,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,1.0,999998.0,8.0,,5,4.0,1,3.0,,2.0,,,,HIDDEN,WINDSOR,CA,95492,,,HIDDEN,HIDDEN,18.0,1,,2.0,1.0,1,1.0,2.0,2.0,,,,,,,,,,,5.0,,,,,,,,,,2.0,,,,1.0,,,97.0,153804.0,,,,,WINDSOR,6.0,0.55908968,189.42837699,,,,,,,,,,,,,brooks elementary,WINDSOR,95492,,,-122.8113649,38.5580097,,,,,,,,97.0,153804.0,60971538041006.0,WINDSOR,6.0,WINDSOR,95492,-122.7910139,38.5473648,60971538072032,153807,97,WINDSOR,2032648,,1396,,brooks elementary 95492
1972484,4,12023,52439,3,1,16,,2,1.0,,,,,1,,2.0,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,0.0,1,4.0,,2.0,,,,HIDDEN,SAN MATEO,CA,94401,,,HIDDEN,HIDDEN,6.0,1,,1.0,,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,606000.0,,,,,SAN MATEO,6.0,0.61735432,209.16935222,,,,,,,,,,,,,san mateo high,SAN MATEO,94401,,,-122.33074609999998,37.576888000000004,,,,,,,,81.0,606000.0,60816060002005.0,SAN MATEO,6.0,SAN MATEO,94404,-122.25988829999999,37.56102979999999,60816081001014,608100,81,SAN MATEO,1227908,,268,,san mateo high 94401
1973274,2,12032,52519,3,1,12,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,5,5.0,1,3.0,,2.0,,,,HIDDEN,SAN FRANCISCO,CA,94134,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,,2.0,,,75.0,25701.0,,,,,SAN FRANCISCO,6.0,0.62938051,213.24401546,,,,,,,,,,,,,the san francisco,SAN FRANCISCO,94134,,,-122.41131429999999,37.732680200000004,,,,,,,,75.0,25701.0,60750257012032.0,SAN FRANCISCO,6.0,SAN FRANCISCO,94107,-122.39820900000001,37.756599,60750614003000,61400,75,SAN FRANCISCO,986459,,113,,the san francisco 94134
1974928,3,12064,52696,3,2,13,,2,1.0,,,,,2,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,12,2.0,,,,3,0.0,1,3.0,,2.0,,,,HIDDEN,CUPERTINO,CA,95014,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,85.0,508003.0,,,,,CUPERTINO,6.0,0.8605023999999999,291.55174431,,,,,,,,,,,,,hyde middle,CUPERTINO,95014,,,-122.0117503,37.310655100000005,,,,,,,,85.0,508003.0,60855080032002.0,CUPERTINO,6.0,LOS GATOS,95032,-121.949699,37.257245000000005,60855027021013,502702,85,LOS GATOS,1511843,,519,,hyde middle 95014
1974933,2,12066,52698,3,1,13,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,3.0,1,3.0,,2.0,,,,HIDDEN,SANTA ROSA,CA,95404,,,HIDDEN,HIDDEN,18.0,1,,2.0,1.0,3,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,97.0,152000.0,,,,,SANTA ROSA,6.0,0.70306352,238.20897603,,,,,,,,,,,,,santa rosa middle,SANTA ROSA,95404,,,-122.70916899999999,38.444533,,,,,,,,97.0,152000.0,60971520002006.0,SANTA ROSA,6.0,SANTA ROSA,95404,-122.708481,38.430903,60971514012015,151401,97,SANTA ROSA,1885489,,1349,,santa rosa middle 95404
