,level_0,SAMPN,PERNO,Unnamed: 0,index,RELAT,GEND,AGE,AGEB,HISP,RACE1,RACE2,RACE3,RACE4,O_RACE,NTVTY,CNTRY,LIC,USER,TRANS,TPTYP1,TPTYP2,TPTYP3,TPTYP4,TPTYP5,TPTYP6,TPTYP7,O_TPTYP,CLIP1,CLIP2,CLIP3,COMP,MET,PASSTL,FLEX,EMPLY,WKSTAT,O_WKSTAT,JOBS,WLOC,WNAME_persons,WCITY_persons,WSTAT,WZIP_persons,WXST1_persons,WXST2_persons,WXCORD_persons,WYCORD_persons,WDAYS,WDAY1,WDAY2,WDAY3,WDAY4,WDAY5,WDAY6,WDAY7,HOURS,WSCHED,COMPR,WMODE,INDUS,O_INDUS,OCCUP,O_OCCUP,WLOC2,WNAME2_persons,WCITY2_persons,WSTAT2,WZIP2_persons,WXST2_1_persons,WXST2_2_persons,WDAYS2,DISAB,DTYPE1,DTYPE2,DTYPE3,DTYPE4,DTYPE5,DTYPE6,DTYPE7,O_DTYPE,DSLIC,EDIS,TTRIP,TRNSUB,SUBAMT,SUBUNT,O_SUBUNT,WTRIP,BTRIP,STUDE,SCHOL,O_SCHOL,SLOC,SONLN,PRESCH,O_PRESCH,SNAME_persons,SCITY_persons,SSTAT,SZIP_persons,SXST1_persons,SXST2_persons,SXCORD_persons,SYCORD_persons,SMODE,EDUCA,O_EDUCA,INTRV,PROXY,CMPLG,HVLOG,PTRIPS,TOLLF,TOLLR1,TOLLR2,TOLLR3,TOLLR4,TOLLR5,TOLLR6,TOLLR7,TOLLR8,TOLLR9,TOLLR10,TOLLB1,TOLLB2,TOLLB3,TOLLB4,TOLLB5,TOLLB6,TOLLB7,TOLLB8,TOLLB9,TOLLB10,HOVL,NOGOWHY,NOGOWHY_O,InComplete,Moto_trip,WCTFIP_persons,WTRACT_persons,SCTFIP_persons,STRACT_persons,WPrimaryCity_persons,WSTFIP_persons,W2PrimaryCity_persons,W2STFIP_persons,SPrimaryCity_persons,SSTFIP_persons,PERWGT,EXPPERWGT,WNAME_lookup,WCITY_lookup,WZIP_lookup,WXST1_lookup,WXST2_lookup,WXCORD_lookup,WYCORD_lookup,WNAME2_lookup,WCITY2_lookup,WZIP2_lookup,WXST2_1_lookup,WXST2_2_lookup,SNAME_lookup,SCITY_lookup,SZIP_lookup,SXST1_lookup,SXST2_lookup,SXCORD_lookup,SYCORD_lookup,WCTFIP_lookup,WTRACT_lookup,WBLOCK,WPrimaryCity_lookup,WSTFIP_lookup,W2PrimaryCity_lookup,W2STFIP_lookup,SCTFIP_lookup,STRACT_lookup,SBLOCK,SPrimaryCity_lookup,SSTFIP_lookup,HCITY,HZIP,HXCORD,HYCORD,HBLOCK,HTRACT,HCTFIP,HPrimaryCity,parcel_id_home,parcel_id_work,zone_id_home,zone_id_work,SNAME_lookup_y,SNAME,SZIP_lookup_y,SZIP,SCITY_lookup_y,SCITY,similarity,Matched?,NAME_CITY_ZIP_lookup,School,Zip,CDSCode
0,0,1037952,2,6,42,3,1,17,,1,1.0,,,,,1,,2.0,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,7,2.0,,,,0,,1,4.0,,2.0,,,,HIDDEN,MENLO PARK,CA,94025.0,,,HIDDEN,HIDDEN,1.0,1,,1.0,,2,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,81.0,613900.0,,,,,MENLO PARK,6.0,1.93024008,653.99569103,,,,,,,,,,,,,good side high,menlo park,94025,,,-122.155951,37.461464899999996,,,,,,,,81.0,613900.0,60816139002003.0,MENLO PARK,6.0,PALO ALTO,94303,-122.138775,37.467578,60816119006001,611900,81,PALO ALTO,1195607,,333,,good side high,beechwood school,94025,94025,menlo park,menlo park,0.698412698412698,yes- ,good side high menlo park 94025,beechwood school,94025,41689997016009
1,1,1050385,3,33,172,3,1,14,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,7.0,1,3.0,,2.0,,,,HIDDEN,BELMONT,CA,94002.0,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,81.0,609000.0,,,,,BELMONT,6.0,0.50088177,169.7066205,,,,,,,,,,,,,charles armstrong,belmont,94002,,,-122.2837779,37.511244,,,,,,,,81.0,609000.0,60816090002005.0,BELMONT,6.0,REDWOOD CITY,94065,-122.252545,37.537021,60816103042015,610304,81,REDWOOD CITY,1257253,,311,,charles armstrong,charles armstrong school,94002,94002,belmont,belmont,0.88235294117647,yes,charles armstrong belmont 94002,charles armstrong school,94002,41688666940043
2,2,1050385,4,34,173,3,1,10,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,7.0,1,3.0,,2.0,,,,HIDDEN,SAN CARLOS,CA,94070.0,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,609400.0,,,,,SAN CARLOS,6.0,0.50088177,169.7066205,,,,,,,,,,,,,st charles,san carlos,94070,,,-122.266181,37.495034999999994,,,,,,,,81.0,609400.0,60816094001020.0,SAN CARLOS,6.0,REDWOOD CITY,94065,-122.252545,37.537021,60816103042015,610304,81,REDWOOD CITY,1257253,,311,,st charles,st. charles elementary,94070,94070,san carlos,san carlos,0.8,yes,st charles san carlos 94070,st. charles elementary,94070,41690216978829
3,3,1051388,3,41,185,3,1,10,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,14,2.0,,,,7,0.0,1,3.0,,2.0,,,,HIDDEN,SAN FRANCISCO,CA,94118.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,75.0,13300.0,,,,,SAN FRANCISCO,6.0,0.58982693,199.84263979,,,,,,,,,,,,,presidio hill,san francisco,94118,,,-122.45614180000001,37.7888162,,,,,,,,75.0,13300.0,60750133004004.0,SAN FRANCISCO,6.0,SAN FRANCISCO,94117,-122.4457731,37.76727929999999,60750171011002,17101,75,SAN FRANCISCO,913377,,89,,presidio hill,presidio hill school,94118,94118,san francisco,san francisco,0.888888888888888,yes,presidio hill san francisco 94118,presidio hill school,94118,38684786205652
4,4,1051795,3,44,193,3,1,13,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,2.0,,,,4,0.0,1,3.0,,2.0,,,,HIDDEN,SAN FRANCISCO,CA,94129.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,2.0,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,75.0,60100.0,,,,,SAN FRANCISCO,6.0,1.21925652,413.10328065,,,,,,,,,,,,,presidio,san francisco,94129,,,-122.46625719999999,37.798924,,,,,,,,75.0,60100.0,60750601001118.0,SAN FRANCISCO,6.0,SAN FRANCISCO,94122,-122.48460459999998,37.7576385,60750326021008,32602,75,SAN FRANCISCO,938197,,177,,presidio,presidio middle,94129,94121,san francisco,san francisco,0.838709677419354,yes,presidio san francisco 94129,presidio middle,94121,38684786062079
5,5,1059276,2,52,265,3,1,15,,1,1.0,,,,,2,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,2.0,,,,2,,1,4.0,,2.0,,,,HIDDEN,NOVATO,CA,94947.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,41.0,104101.0,,,,,NOVATO,6.0,0.08799304,29.81342677,,,,,,,,,,,,,novato high,novato,94947,,,-122.573047,38.089108,,,,,,,,41.0,104101.0,60411041011001.0,NOVATO,6.0,NOVATO,94949,-122.52307490000001,38.046522100000004,60411050001015,105000,41,NOVATO,814151,,1407,,novato high,novato high,94947,94947,novato,novato,0.978723404255319,yes,novato high novato 94947,novato high,94947,21654172132272
6,6,1173970,3,55,5920,3,1,8,,1,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,0.0,1,3.0,,2.0,,,,HIDDEN,NOVATO,CA,94949.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,2.0,1,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,41.0,105000.0,,,,,NOVATO,6.0,5.06008994,1714.43803345,,,,,,,,,,,,,hamilton elementary,novato,94949,,,-122.52931799999999,38.05429,,,,,,,,41.0,105000.0,60411050001013.0,NOVATO,6.0,NOVATO,94949,-122.52410139999999,38.0453287,60411050001015,105000,41,NOVATO,814151,,1407,,hamilton elementary,hamilton meadow park,94949,94949,novato,novato,0.8125,yes- ,hamilton elementary novato 94949,hamilton meadow park,94949,21654176024491
7,7,1173970,4,56,5921,3,2,6,,1,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,1.0,1,3.0,,2.0,,,,HIDDEN,NOVATO,CA,94949.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,2.0,1,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,41.0,105000.0,,,,,NOVATO,6.0,5.06008994,1714.43803345,,,,,,,,,,,,,hamilton elementary,novato,94949,,,-122.52931799999999,38.05429,,,,,,,,41.0,105000.0,60411050001013.0,NOVATO,6.0,NOVATO,94949,-122.52410139999999,38.0453287,60411050001015,105000,41,NOVATO,814151,,1407,,hamilton elementary,hamilton meadow park,94949,94949,novato,novato,0.8125,yes- ,hamilton elementary novato 94949,hamilton meadow park,94949,21654176024491
8,8,1064644,3,66,335,3,1,15,,1,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,30,2.0,,,,15,4.0,1,4.0,,2.0,,,,HIDDEN,SAN BRUNO,CA,94030.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,1,1.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,603900.0,,,,,MILLBRAE,6.0,0.92619695,313.81009139,,,,,,,,,,,,,capatino high,san bruno,94030,,,-122.40688999999999,37.609992999999996,,,,,,,,81.0,603900.0,60816039002014.0,MILLBRAE,6.0,DALY CITY,94015,-122.485125,37.692202,60816012004001,601200,81,DALY CITY,1052397,,193,,capatino high,capuchino high,94030,94066,san bruno,san bruno,0.827586206896551,yes,capatino high san bruno 94030,capuchino high,94066,41690474130738
9,9,1088852,3,99,430,3,1,11,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,6,0.0,1,3.0,,2.0,,,,HIDDEN,WALNUT CREEK,CA,94598.0,,,HIDDEN,HIDDEN,1.0,1,,2.0,1.0,3,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,13.0,338301.0,,,,,WALNUT CREEK,6.0,0.57401729,194.48608614,,,,,,,,,,,,,walnut acres,walnut creek,94598,,,-122.020881,37.9181571,,,,,,,,13.0,338301.0,60133383011022.0,WALNUT CREEK,6.0,WALNUT CREEK,94598,-122.01332,37.915146,60133383011027,338301,13,WALNUT CREEK,396616,,1140,,walnut acres,walnut acres elementary,94598,94598,walnut creek,walnut creek,0.833333333333333,yes,walnut acres walnut creek 94598,walnut acres elementary,94598,7617546004360
10,10,1088852,4,100,431,3,1,9,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,6,0.0,1,3.0,,2.0,,,,HIDDEN,WALNUT CREEK,CA,94598.0,,,HIDDEN,HIDDEN,1.0,1,,2.0,1.0,3,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,13.0,338301.0,,,,,WALNUT CREEK,6.0,0.57401729,194.48608614,,,,,,,,,,,,,walnut acres,walnut creek,94598,,,-122.020881,37.9181571,,,,,,,,13.0,338301.0,60133383011022.0,WALNUT CREEK,6.0,WALNUT CREEK,94598,-122.01332,37.915146,60133383011027,338301,13,WALNUT CREEK,396616,,1140,,walnut acres,walnut acres elementary,94598,94598,walnut creek,walnut creek,0.833333333333333,yes,walnut acres walnut creek 94598,walnut acres elementary,94598,7617546004360
11,11,1089378,2,102,436,3,1,8,,1,2.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,4,,1,3.0,,2.0,,,,HIDDEN,SAN LORENZO,CA,94580.0,,,HIDDEN,HIDDEN,18.0,1,,2.0,1.0,2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,435800.0,,,,,SAN LORENZO,6.0,4.65130678,1575.93587068,,,,,,,,,,,,,del ray elementary,san lorenzo,94580,,,-122.1312611,37.6846495,,,,,,,,1.0,435800.0,60014358004000.0,SAN LORENZO,6.0,SAN LEANDRO,94579,-122.13688400000001,37.686076,60014336002028,433600,1,SAN LEANDRO,249282,,858,,del ray elementary,del rey elementary,94580,94580,san lorenzo,san lorenzo,0.957746478873239,yes,del ray elementary san lorenzo 94580,del rey elementary,94580,1613096002554
12,12,1095531,3,113,499,3,2,6,,2,1.0,4.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,2.0,,,,10,12.0,1,3.0,,2.0,,,,HIDDEN,SAN FRANCISCO,CA,94107.0,,,HIDDEN,HIDDEN,7.0,1,,2.0,2.0,1,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,75.0,61400.0,,,,,SAN FRANCISCO,6.0,0.7279979999999999,246.65717149,,,,,,,,,,,,,starr king,san francisco,94107,,,-122.39941359999999,37.7530274,,,,,,,,75.0,61400.0,60750614001002.0,SAN FRANCISCO,6.0,SAN FRANCISCO,94131,-122.42645300000001,37.741153999999995,60750218001003,21800,75,SAN FRANCISCO,1024194,,127,,starr king,king (thomas starr) elementary,94107,94107,san francisco,san francisco,0.709677419354838,yes- ,starr king san francisco 94107,king (thomas starr) elementary,94107,38684786041602
13,13,1119016,3,125,545,3,1,15,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,20,2.0,,,,7,5.0,1,4.0,,2.0,,,,HIDDEN,PALO ALTO,CA,94301.0,,,HIDDEN,HIDDEN,2.0,1,,,,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,85.0,511500.0,,,,,PALO ALTO,6.0,0.67590375,229.00682033,,,,,,,,,,,,,paly high,palo alto,94301,,,-122.15771200000002,37.437397,,,,,,,,85.0,511500.0,60855115001000.0,PALO ALTO,6.0,PALO ALTO,94301,-122.153627,37.443377000000005,60855113012014,511301,85,PALO ALTO,1299086,,356,,paly high,palo alto high,94301,94301,palo alto,palo alto,0.851851851851851,yes- ,paly high palo alto 94301,palo alto high,94301,43696414335782
14,14,1119181,3,134,569,3,2,9,,2,4.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,0.0,1,3.0,,2.0,,,,HIDDEN,SANTA ROSA,CA,95405.0,,,HIDDEN,HIDDEN,18.0,1,,2.0,1.0,1,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,97.0,151504.0,,,,,SANTA ROSA,6.0,1.12037527,379.60075784,,,,,,,,,,,,,strawberry elementary,santa rosa,95405,,,-122.661602,38.434153,,,,,,,,97.0,151504.0,60971515043016.0,SANTA ROSA,6.0,SANTA ROSA,95405,-122.66660800000001,38.424728,60971515026002,151502,97,SANTA ROSA,2013724,,1350,,strawberry elementary,strawberry elementary,95405,95405,santa rosa,santa rosa,0.986666666666666,yes,strawberry elementary santa rosa 95405,strawberry elementary,95405,49706236098248
15,15,1120491,3,148,689,3,2,14,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,2,0.0,1,3.0,,2.0,,,,HIDDEN,PORTOLA VALLEY,CA,94028.0,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,613200.0,,,,,PORTOLA VALLEY,6.0,0.68671976,232.67145391,,,,,,,,,,,,,corte madera,portola valley,94028,,,-122.212075,37.367937,,,,,,,,81.0,613200.0,60816132003002.0,PORTOLA VALLEY,6.0,PORTOLA VALLEY,94028,-122.21751200000001,37.375244,60816132004033,613200,81,PORTOLA VALLEY,1216463,,298,,corte madera,corte madera,94028,94028,portola valley,portola valley,0.984615384615384,yes,corte madera portola valley 94028,corte madera,94028,41689816044275
16,16,1120491,4,149,690,3,1,11,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,3,0.0,1,3.0,,2.0,,,,HIDDEN,PORTOLA VALLEY,CA,94028.0,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,613200.0,,,,,PORTOLA VALLEY,6.0,0.68671976,232.67145391,,,,,,,,,,,,,corte madera,portola valley,94028,,,-122.212075,37.367937,,,,,,,,81.0,613200.0,60816132003002.0,PORTOLA VALLEY,6.0,PORTOLA VALLEY,94028,-122.21751200000001,37.375244,60816132004033,613200,81,PORTOLA VALLEY,1216463,,298,,corte madera,corte madera,94028,94028,portola valley,portola valley,0.984615384615384,yes,corte madera portola valley 94028,corte madera,94028,41689816044275
17,17,1121261,3,156,758,3,1,13,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,0.0,1,3.0,,2.0,,,,HIDDEN,SAN FRANCISCO,CA,94114.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,1,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,75.0,20401.0,,,,,SAN FRANCISCO,6.0,0.85093161,288.30901008,,,,,,,,,,,,,rooftop alternative,san francisco,94114,,,-122.44465259999998,37.7578395,,,,,,,,75.0,20401.0,60750204012009.0,SAN FRANCISCO,6.0,SAN FRANCISCO,94112,-122.455193,37.709978,60750262004007,26200,75,SAN FRANCISCO,1037202,,164,,rooftop alternative,rooftop elementary,94114,94131,san francisco,san francisco,0.736842105263157,yes,rooftop alternative san francisco 94114,rooftop elementary,94131,38684786089775
18,18,1121261,4,157,759,3,1,11,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,1,0.0,1,3.0,,2.0,,,,HIDDEN,SAN FRANCISCO,CA,94114.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,1,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,75.0,20401.0,,,,,SAN FRANCISCO,6.0,0.85093161,288.30901008,,,,,,,,,,,,,rooftop alternative,san francisco,94114,,,-122.44465259999998,37.7578395,,,,,,,,75.0,20401.0,60750204012009.0,SAN FRANCISCO,6.0,SAN FRANCISCO,94112,-122.455193,37.709978,60750262004007,26200,75,SAN FRANCISCO,1037202,,164,,rooftop alternative,rooftop elementary,94114,94131,san francisco,san francisco,0.736842105263157,yes,rooftop alternative san francisco 94114,rooftop elementary,94131,38684786089775
19,19,1121851,3,173,824,3,2,9,,2,99.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,0.0,1,3.0,,2.0,,,,HIDDEN,SUNNYVALE,CA,94087.0,,,HIDDEN,HIDDEN,1.0,1,,,,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,85.0,508404.0,,,,,SUNNYVALE,6.0,0.77160117,261.43061038,,,,,,,,,,,,,cumberland elementary,sunnyvale,94087,,,-122.04319199999999,37.367075,,,,,,,,85.0,508404.0,60855084042009.0,SUNNYVALE,6.0,SUNNYVALE,94087,-122.048148,37.362722,60855084043009,508404,85,SUNNYVALE,1349020,,451,,cumberland elementary,cumberland elementary,94087,94087,sunnyvale,sunnyvale,0.986301369863013,yes,cumberland elementary sunnyvale 94087,cumberland elementary,94087,43696906049175
20,20,1121851,4,174,825,3,1,7,,2,99.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,0.0,1,3.0,,2.0,,,,HIDDEN,SUNNYVALE,CA,94087.0,,,HIDDEN,HIDDEN,1.0,1,,,,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,85.0,508404.0,,,,,SUNNYVALE,6.0,0.77160117,261.43061038,,,,,,,,,,,,,cumberland elementary,sunnyvale,94087,,,-122.04319199999999,37.367075,,,,,,,,85.0,508404.0,60855084042009.0,SUNNYVALE,6.0,SUNNYVALE,94087,-122.048148,37.362722,60855084043009,508404,85,SUNNYVALE,1349020,,451,,cumberland elementary,cumberland elementary,94087,94087,sunnyvale,sunnyvale,0.986301369863013,yes,cumberland elementary sunnyvale 94087,cumberland elementary,94087,43696906049175
21,21,1122037,4,182,847,3,2,16,,1,97.0,,,,HISPANIC,1,,2.0,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.0,,,,,,,,2.0,2.0,0,,,,,5,5.0,1,4.0,,2.0,,,,HIDDEN,SAN JOSE,CA,95123.0,,,HIDDEN,HIDDEN,2.0,1,,,,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,85.0,512023.0,,,,,SAN JOSE,6.0,1.5258288999999998,516.97482349,,,,,,,,,,,,,oak grove high,san jose,95123,,,-121.81897040000001,37.2537224,,,,,,,,85.0,512023.0,60855120232005.0,SAN JOSE,6.0,SAN JOSE,95111,-121.80066399999998,37.258146999999994,60855120431000,512043,85,SAN JOSE,1665183,,669,,oak grove high,oak grove high,95123,95123,san jose,san jose,0.982456140350877,yes,oak grove high san jose 95123,oak grove high,95123,43694274335204
22,22,1122037,5,183,848,3,2,11,,1,97.0,,,,HISPANIC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,6,5.0,1,3.0,,2.0,,,,HIDDEN,SAN JOSE,CA,95111.0,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,85.0,512043.0,,,,,SAN JOSE,6.0,1.5258288999999998,516.97482349,,,,,,,,,,,,,edenvale elementary,san jose,95111,,,-121.802921,37.261571,,,,,,,,85.0,512043.0,60855120432012.0,SAN JOSE,6.0,SAN JOSE,95111,-121.80066399999998,37.258146999999994,60855120431000,512043,85,SAN JOSE,1665183,,669,,edenvale elementary,edenvale elementary,95111,95111,san jose,san jose,0.985074626865671,yes,edenvale elementary san jose 95111,edenvale elementary,95111,43696256048128
23,23,1482078,3,186,19835,3,1,7,,2,4.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,0,2.0,1,3.0,,2.0,,,,HIDDEN,SAN JOSE,CA,95123.0,,,HIDDEN,HIDDEN,6.0,1,,,,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,85.0,512029.0,,,,,SAN JOSE,6.0,1.85897682,629.85057569,,,,,,,,,,,,,alex anderson elementary,san jose,95123,,,-121.81204270000002,37.246761299999996,,,,,,,,85.0,512029.0,60855120294001.0,SAN JOSE,6.0,SAN JOSE,95111,-121.80066399999998,37.258146999999994,60855120431000,512043,85,SAN JOSE,1665183,,669,,alex anderson elementary,anderson (alex) elementary,95123,95123,san jose,san jose,0.871794871794871,yes- ,alex anderson elementary san jose 95123,anderson (alex) elementary,95123,43696256048086
24,24,1122248,2,194,871,3,1,18,,2,2.0,,,,,1,,2.0,,1.0,1.0,,,,,,,,2.0,7.0,,,,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,15,1.0,1200.0,4.0,,14,0.0,1,4.0,,2.0,,,,HIDDEN,HAYWARD,CA,94545.0,,,HIDDEN,HIDDEN,16.0,1,,1.0,,1,2.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,1.0,438400.0,,,,,HAYWARD,6.0,0.94309029,319.53382131,,,,,,,,,,,,,"mount eden high, chibot college",hayward,94545,,,-122.09058429999999,37.6253517,,,,,,,,1.0,438400.0,60014384001004.0,HAYWARD,6.0,SAN FRANCISCO,94124,-122.413648,37.791026,60750119011000,11901,75,SAN FRANCISCO,893897,,29,,"mount eden high, chibot college",mt. eden high,94545,94545,hayward,hayward,0.704225352112676,yes,"mount eden high, chibot college hayward 94545",mt. eden high,94545,1611920135319
25,25,1124585,2,231,1088,3,1,17,,1,97.0,,,,HISPANIC,1,,2.0,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,2.0,,,,5,0.0,1,4.0,,2.0,,,,HIDDEN,GILROY,CA,95020.0,,,HIDDEN,HIDDEN,23.0,1,,1.0,,1,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,85.0,512509.0,,,,,GILROY,6.0,1.18978298,403.11718226,,,,,,,,,,,,,gilroy high,gilroy,95020,,,-121.576131,36.995787,,,,,,,,85.0,512509.0,60855125091016.0,GILROY,6.0,GILROY,95020,-121.56389399999999,37.009212,60855126031002,512603,85,GILROY,1723751,,707,,gilroy high,gilroy high,95020,95020,gilroy,gilroy,0.978723404255319,yes,gilroy high gilroy 95020,gilroy high,95020,43694844332839
