,level_0,SAMPN,PERNO,Unnamed: 0,index,RELAT,GEND,AGE,AGEB,HISP,RACE1,RACE2,RACE3,RACE4,O_RACE,NTVTY,CNTRY,LIC,USER,TRANS,TPTYP1,TPTYP2,TPTYP3,TPTYP4,TPTYP5,TPTYP6,TPTYP7,O_TPTYP,CLIP1,CLIP2,CLIP3,COMP,MET,PASSTL,FLEX,EMPLY,WKSTAT,O_WKSTAT,JOBS,WLOC,WNAME_persons,WCITY_persons,WSTAT,WZIP_persons,WXST1_persons,WXST2_persons,WXCORD_persons,WYCORD_persons,WDAYS,WDAY1,WDAY2,WDAY3,WDAY4,WDAY5,WDAY6,WDAY7,HOURS,WSCHED,COMPR,WMODE,INDUS,O_INDUS,OCCUP,O_OCCUP,WLOC2,WNAME2_persons,WCITY2_persons,WSTAT2,WZIP2_persons,WXST2_1_persons,WXST2_2_persons,WDAYS2,DISAB,DTYPE1,DTYPE2,DTYPE3,DTYPE4,DTYPE5,DTYPE6,DTYPE7,O_DTYPE,DSLIC,EDIS,TTRIP,TRNSUB,SUBAMT,SUBUNT,O_SUBUNT,WTRIP,BTRIP,STUDE,SCHOL,O_SCHOL,SLOC,SONLN,PRESCH,O_PRESCH,SNAME_persons,SCITY_persons,SSTAT,SZIP_persons,SXST1_persons,SXST2_persons,SXCORD_persons,SYCORD_persons,SMODE,EDUCA,O_EDUCA,INTRV,PROXY,CMPLG,HVLOG,PTRIPS,TOLLF,TOLLR1,TOLLR2,TOLLR3,TOLLR4,TOLLR5,TOLLR6,TOLLR7,TOLLR8,TOLLR9,TOLLR10,TOLLB1,TOLLB2,TOLLB3,TOLLB4,TOLLB5,TOLLB6,TOLLB7,TOLLB8,TOLLB9,TOLLB10,HOVL,NOGOWHY,NOGOWHY_O,InComplete,Moto_trip,WCTFIP_persons,WTRACT_persons,SCTFIP_persons,STRACT_persons,WPrimaryCity_persons,WSTFIP_persons,W2PrimaryCity_persons,W2STFIP_persons,SPrimaryCity_persons,SSTFIP_persons,PERWGT,EXPPERWGT,WNAME_lookup,WCITY_lookup,WZIP_lookup,WXST1_lookup,WXST2_lookup,WXCORD_lookup,WYCORD_lookup,WNAME2_lookup,WCITY2_lookup,WZIP2_lookup,WXST2_1_lookup,WXST2_2_lookup,SNAME_lookup,SCITY_lookup,SZIP_lookup,SXST1_lookup,SXST2_lookup,SXCORD_lookup,SYCORD_lookup,WCTFIP_lookup,WTRACT_lookup,WBLOCK,WPrimaryCity_lookup,WSTFIP_lookup,W2PrimaryCity_lookup,W2STFIP_lookup,SCTFIP_lookup,STRACT_lookup,SBLOCK,SPrimaryCity_lookup,SSTFIP_lookup,HCITY,HZIP,HXCORD,HYCORD,HBLOCK,HTRACT,HCTFIP,HPrimaryCity,parcel_id_home,parcel_id_work,zone_id_home,zone_id_work,SNAME_lookup_y,SNAME,SZIP_lookup_y,SZIP,SCITY_lookup_y,SCITY,similarity,Matched?,NAME_CITY_ZIP_lookup,School,Zip,CDSCode
651,675,1504922,5,5073,21862,5,1,15,,1,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,0.0,1,4.0,,2.0,,,,HIDDEN,NAPA,CA,94558.0,,,HIDDEN,HIDDEN,1.0,1,,2.0,4.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,55.0,200602.0,,,,,NAPA,6.0,1.7451903000000002,591.29791625,,,,,,,,,,,,,vintage high,napa,94558,,,-122.30542220000001,38.333896700000004,,,,,,,,55.0,200602.0,60552006023011.0,NAPA,6.0,NAPA,94558,-122.28372,38.310564,60552005052000,200505,55,NAPA,874210,,1297,,vintage high,vintage high,94558,94558,napa,napa,0.977777777777777,yes,vintage high napa 94558,vintage high,94558,28662662830016
652,676,1504935,2,5075,21864,3,2,6,,2,1.0,4.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,4,0.0,1,3.0,,2.0,,,,HIDDEN,SAN CARLOS,CA,94070.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,1,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,609500.0,,,,,SAN CARLOS,6.0,0.34273138,116.1227825,,,,,,,,,,,,,arundel elementary,san carlos,94070,,,-122.27425900000001,37.503675,,,,,,,,81.0,609500.0,60816095001034.0,SAN CARLOS,6.0,SAN CARLOS,94070,-122.26853500000001,37.50353,60816095001028,609500,81,SAN CARLOS,1159922,,307,,arundel elementary,arundel elementary,94070,94070,san carlos,san carlos,0.985507246376811,yes,arundel elementary san carlos 94070,arundel elementary,94070,41690216044721
653,677,1504961,3,5078,21868,3,2,13,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,8,2.0,,,,5,0.0,1,3.0,,2.0,,,,HIDDEN,MENLO PARK,CA,94025.0,,,HIDDEN,HIDDEN,15.0,1,,,,1,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,612700.0,,,,,MENLO PARK,6.0,0.69944731,236.98374799,,,,,,,,,,,,,hillview middle,menlo park,94025,,,-122.195532,37.439837,,,,,,,,81.0,612700.0,60816127002007.0,MENLO PARK,6.0,MENLO PARK,94025,-122.16681399999999,37.453662,60816125003011,612500,81,MENLO PARK,1193160,,340,,hillview middle,hillview middle,94025,94025,menlo park,menlo park,0.984126984126984,yes,hillview middle menlo park 94025,hillview middle,94025,41689656044150
654,678,1504961,4,5079,21869,3,1,10,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,2.0,,,,5,3.0,1,3.0,,2.0,,,,HIDDEN,ATHERTON,CA,94027.0,,,HIDDEN,HIDDEN,15.0,1,,,,1,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,81.0,611500.0,,,,,ATHERTON,6.0,0.69944731,236.98374799,,,,,,,,,,,,,encinal elementary,atherton,94027,,,-122.18581040000001,37.4638076,,,,,,,,81.0,611500.0,60816115001008.0,ATHERTON,6.0,MENLO PARK,94025,-122.16681399999999,37.453662,60816125003011,612500,81,MENLO PARK,1193160,,340,,encinal elementary,encinal elementary,94027,94027,atherton,atherton,0.984615384615384,yes,encinal elementary atherton 94027,encinal elementary,94027,41689656044135
655,679,1505416,3,5089,21901,3,1,6,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,4,0.0,1,3.0,,2.0,,,,HIDDEN,EL SOBRANTE,CA,94803.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,2.0,2,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,13.0,360101.0,,,,,EL SOBRANTE,6.0,1.05425271,357.19739571,,,,,,,,,,,,,el sobrante christian,el sobrante,94803,,,-122.295841,37.980606,,,,,,,,13.0,360101.0,60133601012008.0,EL SOBRANTE,6.0,SAN PABLO,94806,-122.321627,37.988299,60133650033003,365003,13,SAN PABLO,593005,,1080,,el sobrante christian,el sobrante christian school,94803,94803,el sobrante,el sobrante,0.904761904761904,yes,el sobrante christian el sobrante 94803,el sobrante christian school,94803,07617966972335
656,680,1506808,3,5112,22005,3,1,8,,2,97.0,,,,MIXED RACE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,98,0.0,1,3.0,,2.0,,,,HIDDEN,PIEDMONT,CA,94611.0,,,HIDDEN,HIDDEN,1.0,1,,,,1,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,1.0,426200.0,,,,,OAKLAND,6.0,0.55537788,188.17076126,,,,,,,,,,,,,beach elementary,piedmont,94611,,,-122.24599520000001,37.8241714,,,,,,,,1.0,426200.0,60014262003005.0,OAKLAND,6.0,PIEDMONT,94611,-122.24467,37.822649,60014262003012,426200,1,OAKLAND,100359,,917,,beach elementary,beach elementary,94611,94611,piedmont,piedmont,0.983606557377049,yes,beach elementary piedmont 94611,beach elementary,94611,1612756002281
657,681,1507195,5,5123,22053,3,2,15,,2,1.0,,,,,2,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,6,,1,4.0,,2.0,,,,HIDDEN,MARTINEZ,CA,94553.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,4.0,1,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,13.0,318000.0,,,,,MARTINEZ,6.0,0.6946224,235.34899217,,,,,,,,,,,,,high,martinez,94553,,,-122.13302320000001,38.0025554,,,,,,,,13.0,318000.0,60133180002065.0,MARTINEZ,6.0,VINE HILL,94553,-122.09204199999999,38.016464,60133200011092,320001,13,MARTINEZ,649307,,1095,,high,martinez junior high,94553,94553,martinez,martinez,0.679245283018867,yes,high martinez 94553,martinez junior high,94553,7617396057186
658,682,1507560,3,5127,22073,3,1,15,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,20,2.0,,,,10,2.0,1,4.0,,2.0,,,,HIDDEN,BERKELEY,CA,94704.0,,,HIDDEN,HIDDEN,7.0,1,,,,1,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,1.0,422900.0,,,,,BERKELEY,6.0,0.36610040000000005,124.04057187,,,,,,,,,,,,,berkeley high,berkeley,94704,,,-122.27153799999999,37.868415,,,,,,,,1.0,422900.0,60014229002018.0,BERKELEY,6.0,BERKELEY,94702,-122.29357900000001,37.878514,60014219003006,421900,1,BERKELEY,120092,,1025,,berkeley high,berkeley high,94704,94704,berkeley,berkeley,0.981818181818181,yes,berkeley high berkeley 94704,berkeley high,94704,1611430131177
659,683,1508142,2,5146,22144,3,1,18,,2,1.0,2.0,,,,1,,1.0,1.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,1.0,999998.0,8.0,,5,2.0,1,4.0,,2.0,,,,HIDDEN,SAN FRANCISCO,CA,94124.0,,,HIDDEN,HIDDEN,18.0,1,,,,1,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,75.0,23102.0,,,,,SAN FRANCISCO,6.0,0.47797170000000005,161.94432986,,,,,,,,,,,,,metro arts and tech,san francisco,94124,,,-122.382178,37.732309,,,,,,,,75.0,23102.0,60750231021006.0,SAN FRANCISCO,6.0,SAN FRANCISCO,94110,-122.408149,37.755331,60750228033000,22803,75,SAN FRANCISCO,986137,,117,,metro arts and tech,city arts and tech high,94124,94112,san francisco,san francisco,0.814814814814814,yes- ,metro arts and tech san francisco 94124,city arts and tech high,94112,38684780107300
660,684,1508256,3,5149,22152,3,2,14,,2,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0,,,,,7,0.0,1,4.0,,2.0,,,,HIDDEN,DANVILLE,CA,94526.0,,,HIDDEN,HIDDEN,6.0,1,,2.0,1.0,3,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,13.0,345203.0,,,,,DANVILLE,6.0,0.48469221,164.22134183,,,,,,,,,,,,,san ramon valley high,danville,94526,,,-122.007101,37.826011,,,,,,,,13.0,345203.0,60133452034028.0,DANVILLE,6.0,DANVILLE,94506,-121.895977,37.804860999999995,60133551133000,355113,13,DANVILLE,650552,,1176,,san ramon valley high,san ramon valley high,94526,94526,danville,danville,0.985915492957746,yes,san ramon valley high danville 94526,san ramon valley high,94526,7618040736504
